word,taglist,start,end
Rand,"[{'mtext': 'italic'}, {'sup': 'msubsup'}, {'tag': 'mathML'}]",12400,12404
"28,29","[{'xref': {'ref-type': 'bibr', 'rid': 'c28 c29'}}, {'sup': {}}]",12713,12718
"8,30","[{'xref': {'ref-type': 'bibr', 'rid': 'c8 c30'}}, {'sup': {}}]",13030,13034
C,[{'sub': {}}],13351,13352
G,[{'sub': {}}],13359,13360
2,[{'sub': {}}],13596,13597
6,[{'sub': {}}],13602,13603
30,"[{'xref': {'ref-type': 'bibr', 'rid': 'c30'}}, {'sup': {}}]",13604,13606
3,[{'sub': {}}],13609,13610
6,[{'sub': {}}],13615,13616
20,"[{'xref': {'ref-type': 'bibr', 'rid': 'c20'}}, {'sup': {}}]",13617,13619
2,[{'sub': {}}],13626,13627
6,[{'sub': {}}],13632,13633
31,"[{'xref': {'ref-type': 'bibr', 'rid': 'c31'}}, {'sup': {}}]",13633,13635
3(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f3'}}]",13899,13903
C,[{'sub': {}}],14098,14099
2,[{'sup': {}}],14187,14188
g,[{'sub': {}}],14260,14261
3(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f3'}}]",14280,14284
3(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f3'}}]",14397,14401
3(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f3'}}]",14452,14456
g,[{'sub': {}}],14505,14506
14,"[{'xref': {'ref-type': 'bibr', 'rid': 'c14'}}, {'sup': {}}]",14507,14509
"8,28","[{'xref': {'ref-type': 'bibr', 'rid': 'c8 c28'}}, {'sup': {}}]",14671,14675
2+,[{'sup': {}}],14797,14799
3+,[{'sup': {}}],14817,14819
2,[{'sub': {}}],14831,14832
6,[{'sub': {}}],14837,14838
3(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f3'}}]",15331,15335
"5,32","[{'xref': {'ref-type': 'bibr', 'rid': 'c5 c32'}}, {'sup': {}}]",15419,15423
m+1,[{'sub': {}}],15581,15584
m,[{'sub': {}}],15590,15591
m+1,[{'sub': {}}],15646,15649
m,[{'sub': {}}],15655,15656
m,[{'sub': {}}],15678,15679
max,[{'sub': {}}],15729,15732
M,[{'sub': {}}],15742,15743
AV,[{'sub': {}}],15786,15788
m,[{'sub': {}}],15792,15793
m+1,[{'sub': {}}],15795,15798
m,[{'sub': {}}],15873,15874
m+1,[{'sub': {}}],15880,15883
M,[{'sub': {}}],15902,15903
(4),"[{'xref': {'ref-type': 'disp-formula', 'rid': 'd4'}}]",15929,15932
4(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f4'}}]",16017,16021
4(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f4'}}]",16026,16030
M,[{'sub': {}}],16056,16057
C,[{'sub': {}}],16062,16063
33–35,"[{'xref': {'ref-type': 'bibr', 'rid': 'c33 c34 c35'}}, {'sup': {}}]",16477,16482
M,[{'sub': {}}],16584,16585
M,[{'sub': {}}],16727,16728
C,[{'sub': {}}],16733,16734
et al.,[{'italic': {}}],16859,16865
49,[{'sub': {}}],16942,16944
13,[{'sub': {}}],16946,16948
38,[{'sub': {}}],16950,16952
35,"[{'xref': {'ref-type': 'bibr', 'rid': 'c35'}}, {'sup': {}}]",16959,16961
M,[{'sub': {}}],16970,16971
C,[{'sub': {}}],17092,17093
g,[{'sub': {}}],17102,17103
M,[{'sub': {}}],17108,17109
14,"[{'xref': {'ref-type': 'bibr', 'rid': 'c14'}}, {'sup': {}}]",17244,17246
M,[{'sub': {}}],17331,17332
C,[{'sub': {}}],17358,17359
et al.,[{'italic': {}}],17472,17478
36,"[{'xref': {'ref-type': 'bibr', 'rid': 'c36'}}, {'sup': {}}]",17598,17600
C,[{'sub': {}}],17664,17665
M,[{'sub': {}}],17728,17729
(5),"[{'xref': {'ref-type': 'disp-formula', 'rid': 'd5'}}]",17751,17754
C,[{'sub': {}}],17845,17846
37,"[{'xref': {'ref-type': 'bibr', 'rid': 'c37'}}, {'sup': {}}]",17870,17872
38,"[{'xref': {'ref-type': 'bibr', 'rid': 'c38'}}, {'sup': {}}]",17988,17990
C,[{'sub': {}}],18253,18254
P,[{'sub': {}}],18344,18345
36,"[{'xref': {'ref-type': 'bibr', 'rid': 'c36'}}, {'sup': {}}]",18430,18432
P,[{'sub': {}}],18492,18493
5(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f5'}}]",18557,18561
P,[{'sub': {}}],18612,18613
C,[{'sub': {}}],18707,18708
P,[{'sub': {}}],18725,18726
C,[{'sub': {}}],18767,18768
C,[{'sub': {}}],18796,18797
M,[{'sub': {}}],18863,18864
hot,[{'sub': {}}],19022,19025
cold,[{'sub': {}}],19038,19042
M,[{'sub': {}}],19273,19274
FWHM,[{'sub': {}}],19314,19318
hot,[{'sub': {}}],19322,19325
cold,[{'sub': {}}],19329,19333
C,[{'sub': {}}],19453,19454
g,[{'sub': {}}],19467,19468
39,"[{'xref': {'ref-type': 'bibr', 'rid': 'c39'}}, {'sup': {}}]",19472,19474
C,[{'sub': {}}],19506,19507
g,[{'sub': {}}],19520,19521
5(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f5'}}]",19573,19577
5(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f5'}}]",19596,19600
C,[{'sub': {}}],19808,19809
g,[{'sub': {}}],19823,19824
C,[{'sub': {}}],19914,19915
g,[{'sub': {}}],19921,19922
4,[{'sub': {}}],19955,19956
7,[{'sub': {}}],19957,19958
40,"[{'xref': {'ref-type': 'bibr', 'rid': 'c40'}}, {'sup': {}}]",19959,19961
